live-musik,live musik udført af Thomas Vindelev,koncert,Nick Hansen,husk dit pæne tøj,julefrokost,5,3500.0
julegave raffel,spil med gaver,spil,Nick Hansen,husk 2 gaver af 50 kr's værdi,julefrokost,2,1400.0
reverse strippoker,tagmere tøj på når du taber,spil,Nick Hansen,husk hue og vanter,nicks drukfest,2,1000.0
en bette bajer,vi drikker en øl og ønsker hinanden go jul,druk,Nick Hansen,go jul!,juleferie fest,1,500.0
prøv at spille blokfløjte,prøv dit musikale talent af ,talentshow,Nick Hansen,husk ørepropper,jamming session,3,1500.0
prøv at fiske med fluestang,træning af teknik,træning,Nick Hansen,husk varmt tøj,fisketur,2,1000.0
forberedelse til virtual reality,rengør briller og husk at lade udstyret op,forberedelse,Nick Hansen,husk pudseklud og forlængerleding,prøv VR,1,500.0
find mandlen,forsøg på at finde mandlen i risalamanden ,konkurrence,Nick Hansen,lad være med at spise for meget op til denne konkurrence,ægte dansk juleaften,0.5,350.0
Se alle ringenes herre film i extended version,hold en pause fra at se film hele dagen,kontrol,Nick Hansen,sørg for at han ikke falder i søvn,ringenes herre maraton,1,700.0
froskost,en lille spisepause ,kontrol,Nick Hansen,sørg for at de får spist frokost,julerengøring,1,500.0
code-off,se hvem der kan skrive mest brugbar kode,konkurrence,Nick Hansen,husk at lade din bærbare op på forhånd,java træning,3,1500.0
